Fixation,First_Operand,Second_Operand,Solution,Correct_answer
Fixation_Point3.jpg,S3_450ms.wav,S8_450ms.wav,16,ArrowLeft
Fixation_Point3.jpg,S8_450ms.wav,S7_450ms.wav,63,ArrowLeft
Fixation_Point3.jpg,S4_450ms.wav,S7_450ms.wav,28,ArrowRight
Fixation_Point3.jpg,S6_450ms.wav,S7_450ms.wav,49,ArrowLeft
Fixation_Point3.jpg,S4_450ms.wav,S5_450ms.wav,20,ArrowRight
Fixation_Point3.jpg,S7_450ms.wav,S2_450ms.wav,16,ArrowLeft
Fixation_Point3.jpg,S4_450ms.wav,S6_450ms.wav,24,ArrowRight
Fixation_Point3.jpg,S8_450ms.wav,S7_450ms.wav,56,ArrowRight
Fixation_Point3.jpg,S8_450ms.wav,S2_450ms.wav,16,ArrowRight
Fixation_Point3.jpg,S2_450ms.wav,S9_450ms.wav,18,ArrowRight
